username,password,lastname,firstname,city,email,course1
nguyenanh,123456,Nguyễn,Anh,Hà Nội,nguyenanh@gmail.com,Toán
tranghien,abcdef,Trần,Hiền,Hồ Chí Minh,tranghien@gmail.com,Lý
hoangtu,789101,Hoàng,Tú,Hải Phòng,hoangtu@yahoo.com,Hóa
minhduc,112233,Minh,Đức,Đà Nẵng,minhduc@gmail.com,Tiếng Anh
phuonglinh,445566,Phương,Linh,Cần Thơ,phuonglinh@gmail.com,Văn
quanghieu,778899,Quang,Hiếu,Quảng Ninh,quanghieu@hotmail.com,Sinh học
tuananh,223344,Tuấn,Anh,Bắc Ninh,tuananh@gmail.com,Lịch sử
ngocbao,998877,Ngọc,Bảo,Thái Nguyên,ngocbao@yahoo.com,Địa lý
trungnhat,667788,Trung,Nhật,Nghệ An,trungnhat@gmail.com,Thể dục
hienlanh,556677,Hiền,Lành,Quảng Bình,hienlanh@yahoo.com,Âm nhạc
